number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_OPTIMIZER,params_WEIGHT_DECAY,params_WEIGHT_INIT_TYPE,user_attrs_mae,user_attrs_mape,user_attrs_rmse,user_attrs_std_dev,state
0,12.10420036315918,2025-01-17 20:37:32.458590,2025-01-17 20:38:44.539365,0 days 00:01:12.080775,5.0,0.2,60,0.0001,2,adam,0.0,he,10.169785,19.433655,11.525571476296715,6.134841,COMPLETE
1,20.615509033203125,2025-01-17 20:38:44.541300,2025-01-17 20:41:12.247562,0 days 00:02:27.706262,10.0,0.0,110,5e-05,5,adamw,0.0001,normal,18.110224,37.809933,19.825676580210107,10.191154,COMPLETE
