number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_MOMENTUM_SGD,params_NUM_EPOCHS,params_NUM_LAYERS,params_OPTIMIZER,params_WEIGHT_DECAY,params_WEIGHT_INIT_TYPE,user_attrs_mae,user_attrs_mape,user_attrs_rmse,user_attrs_std_dev,state
24,25.670358657836914,2025-01-16 19:32:29.904057,2025-01-16 19:33:31.641277,0 days 00:01:01.737220,0.01,0.5,70,0.02,0.4,5,2,adamw,0.0,default,22.303923,38.847725,25.670358657836914,19.315468,COMPLETE
25,57.4405517578125,2025-01-16 19:33:31.641801,2025-01-16 19:43:53.288068,0 days 00:10:21.646267,0.1,0.15000000000000002,50,0.005,0.7000000000000001,18,8,sgd,0.0,normal,53.222874,89.671616,57.4405517578125,21.604233,COMPLETE
26,57.43451690673828,2025-01-16 19:43:53.288693,2025-01-16 19:47:05.561071,0 days 00:03:12.272378,1.0,0.2,80,0.008,0.2,7,5,sgd,1e-06,normal,53.21719,89.66159,57.43451690673828,21.602175,COMPLETE
27,55.847530364990234,2025-01-16 19:47:05.561781,2025-01-16 19:55:42.193007,0 days 00:08:36.631226,0.1,0.6,10,0.01,0.1,15,8,sgd,0.001,default,51.499985,86.07992,55.847530364990234,21.603197,COMPLETE
28,26.981786727905273,2025-01-16 19:55:42.193565,2025-01-16 20:05:15.017785,0 days 00:09:32.824220,,0.55,10,5e-05,0.7000000000000001,17,8,sgd,0.01,default,22.632444,39.52395,26.981786727905273,21.61065,COMPLETE
29,64.25476837158203,2025-01-16 20:05:15.018298,2025-01-16 20:10:19.338704,0 days 00:05:04.320406,0.01,0.45,80,0.0005,0.30000000000000004,17,3,sgd,0.0001,default,60.406605,104.36024,64.25476837158203,21.902391,COMPLETE
30,74.77486419677734,2025-01-16 20:10:19.339289,2025-01-16 20:19:14.550336,0 days 00:08:55.211047,2.0,0.35000000000000003,50,5e-05,0.2,14,9,sgd,0.001,default,71.38071,128.51837,74.77486419677734,29.636702,COMPLETE
31,32.87259292602539,2025-01-16 20:19:14.550872,2025-01-16 20:27:12.433699,0 days 00:07:57.882827,0.5,0.5,10,0.0003,0.5,16,7,adamw,1e-06,he,28.279718,43.94916,32.87259292602539,18.52129,COMPLETE
32,57.41157913208008,2025-01-16 20:27:12.434254,2025-01-16 20:29:14.362120,0 days 00:02:01.927866,0.001,0.6,80,0.001,0.6000000000000001,9,2,adam,0.0001,normal,53.191578,89.60642,57.41157913208008,21.60423,COMPLETE
33,47.123260498046875,2025-01-16 20:29:14.362663,2025-01-16 20:31:38.273891,0 days 00:02:23.911228,2.0,0.2,80,0.003,0.5,8,3,adam,0.001,normal,43.989113,75.25798,47.123260498046875,16.898552,COMPLETE
