number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_OPTIMIZER,params_WEIGHT_DECAY,params_WEIGHT_INIT_TYPE,state
34,23.9552001953125,2025-01-16 15:05:09.317285,2025-01-16 15:07:10.387999,0 days 00:02:01.070714,2.0,0.0,10,0.0001,3,adamw,1e-06,normal,COMPLETE
35,6.546832084655762,2025-01-16 15:07:10.388832,2025-01-16 15:09:22.919753,0 days 00:02:12.530921,1.0,0.15000000000000002,60,0.01,3,adam,0.0,normal,COMPLETE
36,5.299861907958984,2025-01-16 15:09:22.920284,2025-01-16 15:11:35.213470,0 days 00:02:12.293186,1.0,0.1,60,0.0005,3,adamw,0.0001,default,COMPLETE
37,6.398932456970215,2025-01-16 15:11:35.214007,2025-01-16 15:15:28.559663,0 days 00:03:53.345656,1.0,0.05,80,0.0005,5,adamw,0.0001,default,COMPLETE
38,4.368109703063965,2025-01-16 15:15:28.560197,2025-01-16 15:17:34.755241,0 days 00:02:06.195044,1.0,0.0,60,0.0005,3,adamw,0.0001,default,COMPLETE
39,23.16381072998047,2025-01-16 15:17:34.755823,2025-01-16 15:20:13.604467,0 days 00:02:38.848644,1.5,0.0,60,5e-05,4,adamw,0.0001,default,COMPLETE
40,30.551687240600586,2025-01-16 15:20:13.605063,2025-01-16 15:22:29.792441,0 days 00:02:16.187378,1.0,0.25,70,0.0005,3,adamw,0.001,default,COMPLETE
41,15.39930534362793,2025-01-16 15:22:29.792995,2025-01-16 15:24:42.953212,0 days 00:02:13.160217,1.0,0.05,60,0.0005,3,adamw,0.0001,default,COMPLETE
42,20.346485137939453,2025-01-16 15:24:42.953802,2025-01-16 15:27:18.105216,0 days 00:02:35.151414,1.0,0.1,80,0.0005,3,adamw,0.0001,default,COMPLETE
43,19.71214485168457,2025-01-16 15:27:18.105777,2025-01-16 15:29:55.874598,0 days 00:02:37.768821,1.0,0.0,60,0.0005,4,adamw,0.0001,default,COMPLETE
44,14.2144136428833,2025-01-16 15:29:55.875131,2025-01-16 15:32:05.667753,0 days 00:02:09.792622,0.01,0.1,50,0.001,3,adamw,0.01,default,COMPLETE
45,7.488564968109131,2025-01-16 15:32:05.668252,2025-01-16 15:34:20.849880,0 days 00:02:15.181628,0.5,0.05,70,0.005,3,adamw,0.0001,he,COMPLETE
46,24.667436599731445,2025-01-16 15:34:20.850440,2025-01-16 15:37:04.349683,0 days 00:02:43.499243,1.0,0.0,70,0.0008,4,adamw,0.0001,default,COMPLETE
47,52.259422302246094,2025-01-16 15:37:04.350183,2025-01-16 15:39:14.729576,0 days 00:02:10.379393,5.0,0.45,50,0.0001,3,adamw,0.001,default,COMPLETE
48,5.32374906539917,2025-01-16 15:39:14.730135,2025-01-16 15:41:31.201647,0 days 00:02:16.471512,1.0,0.2,40,0.0005,3,adamw,0.0001,default,COMPLETE
49,32.073516845703125,2025-01-16 15:41:31.202147,2025-01-16 15:44:51.408839,0 days 00:03:20.206692,2.0,0.1,60,5e-05,5,adamw,1e-05,he,COMPLETE
